variant,model,delay_months,amount,mean_gain_nw,se,ci_lo,ci_hi,share_severe,reduction_in_severe_share,mean_cost_of_inattention
nominal,A,0,1500.0,3224.3644669010464,53.650237608596974,3119.210001188196,3329.5189326138966,0.2776666666666667,0.07100000000000001,356.48680269622355
nominal,A,1,1500.0,3569.0546900380677,64.1375179532245,3443.345154849748,3694.7642252263877,0.259,0.08966666666666667,384.9280958166896
nominal,A,2,1500.0,3593.550677176178,64.34547946054109,3467.4335374335174,3719.6678169188385,0.247,0.10166666666666668,410.70343524671904
nominal,A,3,1500.0,3339.343387782139,55.70110700266382,3230.169218056918,3448.51755750736,0.253,0.09566666666666668,419.09285907481717
nominal,A,4,1500.0,2984.850348463843,43.553138323861944,2899.486197349074,3070.2144995786125,0.2886666666666667,0.06,404.3858189708846
nominal,A,6,1500.0,2613.9145592309033,31.885407186426434,2551.4191611455076,2676.409957316299,0.31366666666666665,0.03500000000000003,398.8722058981185
nominal,A,9,1500.0,2408.603315312053,26.82609035149552,2356.024178223122,2461.182452400984,0.33366666666666667,0.015000000000000013,426.79516939825373
nominal,A,12,1500.0,2285.636687093533,24.3301648731345,2237.9495639421893,2333.3238102448768,0.339,0.009666666666666657,452.3344712755227
nominal,B,0,1500.0,3111.1141190227045,53.30744124179098,3006.631534188794,3215.596703856615,0.271,0.06766666666666665,0.0
nominal,B,1,1500.0,3481.2495183777555,64.33639590578615,3355.150182402415,3607.348854353096,0.25066666666666665,0.08800000000000002,0.0
nominal,B,2,1500.0,3557.371285374981,66.45910590604186,3427.1114377991394,3687.631132950823,0.23666666666666666,0.10200000000000001,0.0
nominal,B,3,1500.0,3324.1501348148213,59.1606693886955,3208.195222812978,3440.1050468166645,0.24366666666666667,0.095,0.0
nominal,B,4,1500.0,2957.4894424776944,46.73514826206592,2865.8885518840452,3049.0903330713436,0.2836666666666667,0.05499999999999999,0.0
nominal,B,6,1500.0,2562.5186606721404,33.68268337874954,2496.5006012497915,2628.5367200944893,0.30633333333333335,0.032333333333333325,0.0
nominal,B,9,1500.0,2408.460765570684,29.77233551731883,2350.106987956739,2466.814543184629,0.3243333333333333,0.014333333333333365,0.0
nominal,B,12,1500.0,2309.723789818792,27.439902941770562,2255.9415800529214,2363.5059995846623,0.3303333333333333,0.00833333333333336,0.0
pv_adjusted,A,0,1500.0,3224.3644669010464,53.650237608596974,3119.210001188196,3329.5189326138966,0.2776666666666667,0.07100000000000001,356.48680269622355
pv_adjusted,A,1,1527.0,3616.936491397397,64.67171422144821,3490.1799315233584,3743.6930512714353,0.25833333333333336,0.09033333333333332,384.50570110224515
pv_adjusted,A,2,1554.486,3703.9342547024985,65.72712027782738,3575.109098957957,3832.75941044704,0.24533333333333332,0.10333333333333336,411.01066408617885
pv_adjusted,A,3,1582.466748,3502.3942682645084,57.78630439668283,3389.13311164701,3615.6554248820066,0.25133333333333335,0.09733333333333333,418.2172417633208
pv_adjusted,A,4,1610.951149464,3195.047133392126,46.3316194397672,3104.2371592901823,3285.8571074940696,0.2853333333333333,0.06333333333333335,401.5869558558076
pv_adjusted,A,6,1669.4673390171304,2924.5415137070963,36.05715561537917,2853.8694887009533,2995.2135387132394,0.31166666666666665,0.03700000000000003,406.00885552745353
pv_adjusted,A,9,1761.2510339111013,2880.572481033763,33.12085841303014,2815.6555985442237,2945.489363523302,0.332,0.016666666666666663,442.5127743991418
pv_adjusted,A,12,1858.0807973632925,2920.212305057391,32.52931609093654,2856.4548455191552,2983.9697645956267,0.3383333333333333,0.010333333333333361,475.51688814176975
pv_adjusted,B,0,1500.0,3111.1141190227045,53.30744124179098,3006.631534188794,3215.596703856615,0.271,0.06766666666666665,0.0
pv_adjusted,B,1,1527.0,3525.8713724144227,64.74453897364903,3398.9720760260707,3652.7706688027747,0.251,0.08766666666666667,0.0
pv_adjusted,B,2,1554.486,3660.074184470907,67.58137372321248,3527.6146919734106,3792.533676968403,0.236,0.10266666666666668,0.0
pv_adjusted,B,3,1582.466748,3491.463252628345,61.35043214524335,3371.216405623668,3611.710099633022,0.24266666666666667,0.096,0.0
pv_adjusted,B,4,1610.951149464,3170.2885606318787,49.72812652101405,3072.8214326506913,3267.755688613066,0.279,0.059666666666666646,0.0
pv_adjusted,B,6,1669.4673390171304,2865.3546246125575,37.73784046211204,2791.388457306818,2939.320791918297,0.304,0.03466666666666668,0.0
pv_adjusted,B,9,1761.2510339111013,2890.2827764146728,36.45808798737038,2818.824923959427,2961.7406288699185,0.32266666666666666,0.016000000000000014,0.0
pv_adjusted,B,12,1858.0807973632925,2952.987601162487,35.865885321168186,2882.6904659329975,3023.2847363919764,0.32966666666666666,0.009000000000000008,0.0
