grouping,group,n,gap_A,se_A,gap_B,se_B,attention_added_value(A-B),se_diff
initial balance,Q4 (highest),750,360.31629688887733,56.513253552423585,342.866475973542,59.70300169414352,17.449820915335323,22.57385364489005
initial balance,Q1 (lowest),750,766.6169075395144,72.8142121638406,654.0068014213883,82.64558649570894,112.61010611812611,57.28965785009037
initial balance,Q3,750,617.3542677828441,77.37374384712915,595.5252612731114,78.66866848517897,21.829006509732842,40.56333197560753
initial balance,Q2,750,697.5121584693389,76.62997780058186,601.9832947342145,76.05166906099667,95.52886373512445,53.30986297507864
attention sensitivity alpha,Q2,750,655.9415193405704,76.5545901711828,523.5347641156635,70.25676350926358,132.40675522490687,46.9009399312959
attention sensitivity alpha,Q4 (highest),750,565.8358691474373,56.75674926021204,488.4992437910966,68.6000757857243,77.33662535634076,50.39162983658341
attention sensitivity alpha,Q3,750,535.9400360390557,63.75507998421231,532.6372660612288,74.38774101887778,3.3027699778268493,57.31849788809592
attention sensitivity alpha,Q1 (lowest),750,684.0822061535113,85.52233671943308,649.7105594342671,85.14855244155855,34.371646719244254,15.866882844952244
shock spell length,short (<=3 mo),981,353.2255297930265,45.316497518614106,272.8473564152112,35.045832769088925,80.37817337781534,16.96509989753308
shock spell length,medium (4-11),1274,951.7460326792605,71.84784254383032,895.4393707002253,73.40914001986143,56.30666197903524,41.63134336470799
shock spell length,long (>=12),745,365.51816463099885,40.31522651261846,318.56826863930576,66.08880466957181,46.94989599169301,53.189042106947305
