parameter,value,gap_A,se_A,gap_B,se_B,attention_added(A-B),se_added
rho (attention adjustment speed),0.2,669.8451778820197,67.35367810416389,612.925890264088,67.15455954145982,56.91928761793161,26.161276567675948
rho (attention adjustment speed),0.4,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
rho (attention adjustment speed),0.7,765.8856013521,70.81470571520289,612.925890264088,67.15455954145982,152.959711088012,38.804953454314614
rho (attention adjustment speed),1.0,771.8100163934378,68.50019629547396,612.925890264088,67.15455954145982,158.88412612934962,39.82028159260815
payday monthly rate,0.06,289.3930816257816,24.256458143596124,224.90801236670185,24.658420537525437,64.48506925907978,20.59675918996187
payday monthly rate,0.12,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
payday monthly rate,0.2,1572.1394146847147,165.62589051698805,1345.8628740339618,148.62544713786625,226.27654065075285,106.91623236098897
cognitive cost of refinancing,0.5,694.3379196547074,69.41273468013377,612.925890264088,67.15455954145982,81.41202939061931,30.296923406360367
cognitive cost of refinancing,0.7,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
cognitive cost of refinancing,0.9,762.1636264847687,68.82430889875215,612.925890264088,67.15455954145982,149.23773622068077,36.490671158667304
cognitive cost of deferral,0.4,717.0068702583925,68.5446971234199,612.925890264088,67.15455954145982,104.08097999430446,28.845843513225766
cognitive cost of deferral,0.6,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
cognitive cost of deferral,0.8,725.2640166260658,70.60801068839471,612.925890264088,67.15455954145982,112.33812636197774,37.061610317919786
decision horizon (months),6.0,734.5041927228352,71.15741625522067,609.9062548486502,68.05877201771692,124.597937874185,33.981448072823724
decision horizon (months),12.0,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
decision horizon (months),24.0,730.8982711478977,70.67553380679011,616.6771968462721,67.10606748630813,114.22107430162553,35.54593055455064
transfer amount ($),750.0,665.3368540880297,57.34251352566773,633.3535933092423,56.523478250294126,31.98326077878729,31.89805699153848
transfer amount ($),1500.0,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
transfer amount ($),3000.0,289.4489999015809,68.21551255878634,161.9811116814142,67.18912470540651,127.46788822016673,36.787064684403056
refinance-offer probability,0.05,756.2074211570625,70.23460679622387,676.4094183230452,69.43664733358835,79.79800283401732,37.921618121788185
refinance-offer probability,0.15,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
refinance-offer probability,0.3,644.5101069171344,65.73749525297278,527.4546667380092,61.24126116317065,117.05544017912509,27.108446037057455
mean shock-spell length (months),4.0,683.6280292739632,68.01226029914818,627.0731447784012,66.81257988582952,56.55488449556199,32.02665845730028
mean shock-spell length (months),8.0,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
mean shock-spell length (months),12.0,679.78916954144,64.64364975904118,524.5888251177907,62.79375097552927,155.20034442364926,40.6552257327991
